Season,Episode,Character,Line
6,7,Butters,"They did that on the Simpsons! Ha! Treehouse of Horror! Episode 4F02! The Genesis tub. Lisa loses a tooth, and the bacteria on it start to grow, and makes a little society, and they build a statue of her thinking she's God! Ha! Hahaha!
"
5,13,Kyle,"Wait. Kenny's going to die?
"
12,7,Mr. Garrison,"Kids, everyone together. Welcome to Pioneer Village. This is a recreation of early Colorado days. I want you all to meet Pioneer Paul. 
"
1,8,Cartman,"Sweet. 
"
2,7,Stan,"Oh no! 
"
1,11,Cartman,"My mom said if you want to become a lesbian you have to lick carpet.
"
14,10,Randy,"What?!
"
4,6,Cartman,"Mister Hammerhead?
"
9,5,Butters,"Well yeah, but... we usually win.
"
1,6,Mr. Garrison,"What, what do you mean?
"
11,4,Cartman,"Why would a terrorist just blow up a school? It's not their M.O. Unless... Oh my God! Unless this was all just a big diversion.  Kyle, I need you to Google-search the South Park Chamber of Commerce!
"
15,12,Kyle,"Shut the hell up, Cartman!
"
2,17,Cartman,"No...more...coffee. Blech. 
"
18,8,Cartman,"OOHHH!! 
"
16,8,Stan,"This game is stupid. I have no idea how to go out on the field and be as nice as I can to the other team!
"
18,7,Butters,"Ah, okay uh, I think I'm done, Eric. Ah I'm feeling kind of dizzy and uh- 
"
7,6,Stan,"Yes it is!
"
17,8,Kenny,"Previously, on South Park.
"
11,1,Stan,"He told my dad he was...
"
17,9,Stan,"Alright, guys, here's the deal: the main entrance to the mall is already blocked by thousands of waiting shoppers. The kids who want XBoxes plan to flank from the left, here.  Our best chance of being first inside is finding a way to the mall's back entrance, here. 
"
1,12,Cartman,"Eeyy! Give me that back!
"
5,10,Butters,"Aw gee, thah-at sounds swell, fellas, but I can't go 'cause I'm still havin' behavioral problems.
"
4,2,Timmy,"Hu-aah!
"
12,8,Cartman,"Because we're going to make them think... we're one of them.  Here, put these teeth in!  And just say ""herro"" and ""prease"" a lot.  ""Oh, herro prease."" Ping pong ching chong.
"
15,8,Stan,"No, I'm done with that! 
"
5,1,Kyle,"Well! I hope it lived up to all the hype! You must feel so much better now!
"
2,8,Kyle,"We wanna buy M-80s.
"
6,5,Butters,"Yeah. 
"
1,6,Kyle,"Yeah, there's this guy named Jack Leborkian that goes around and murders people that ask him to, and he doesn't get in any trouble at all.
"
4,7,Stan,"Cartman, we have to ask you a question. A very serious question.
"
5,2,Timmy,"Timmih Timmih Timmih Timmih, Timmih Timmih Timmih.  Timmih Timmih Timmih Timmih, Timmih Timmih Timmih.  Aaaaah.
"
13,9,Butters,"Why you were made for the playground, bitch. You should be out there workin'. Don't you want a new lunch box? Nice new coat? I can get all that for you, bitch.
"
3,10,Stan,"You didn't know that?
"
13,6,Randy,"Yeah, it doesn't look like the space cash was ever here.
"
6,14,Mr. Garrison,"Uh...
"
2,5,Kyle,"Get him, Frenchy!
"
3,3,Stan,"Bitch.
"
8,12,Wendy,"That's okay, you guys. 
"
10,1,Kyle,"Draw two card, fatass.
"
3,2,Cartman,"Either I'm Jesus, or else, screw you guys, I'm going home! 
"
2,18,Kyle,"Guess what? You're not my best friend anymore! Cartman's my new best friend!
"
14,10,Stan,"Yeah, alright.
"
14,5,Kyle,"There doesn't have to be...
"
1,8,Mr. Garrison,"Children, children! I'm a little disappointed in your Thanksgiving spirit. Only a few cans have been donated to our canned food drive.  And can't we do a little better than ... Creamed Corn ... uh ... Creamed Corn ... and ... Creamed Corn?  Please bring in more diverse food children or else Kenny's family is going to have a pretty corny Thanksgiving.  Corny...Gravy...Corny Thanksgiving, hoo. Hahhaa. Anyway children, I understand a few of you have brought in something special for show-and-tell.
"
10,2,Randy,"Yeah. First off, we're all gonna need new cars.
"
6,1,Stan,"We've gotta hurry this up. 
"
6,11,Randy,"Sweetheart, you saw the news...
"
14,2,Butters,"Kim Kardashian is sooo sexy. Her butt is like a biiig mountain of pudding.
"
10,1,Kyle,"Hi, uh- our friend has been brainwashed by some fruity little club.
"
6,7,Cartman,"...So?
"
14,9,Randy,"People of South Park! We have all noticed a steep rise in everything Jersey lately. As many of you already know, everything east of the Rockies is now part of New Jersey! The Jersey Shore now includes Jacksonville, Miami, the Gulf of Jersey Mexico, and the Jersey Islands. 
"
1,11,Stan,"Bluuch. 
"
18,5,Butters,"...Okay.
"
3,15,Kyle,"Dad? 
"
15,10,Cartman,"Okay, no, they all did awesome! In fact our students did so good on the tests that you...  you decided to reward them all. At lunch you're serving the students pizza from Pizza Hut! But we're going to put laxatives and Arby's horsey sauce in the pizza so that every kid in the school craps their pants after recess. Everyone craps their pants, nobody's singled out, problem solved. 
"
7,5,Kyle,"No way.
"
3,5,Cartman,"I have to call my friends over; they're never gonna believe it.
"
14,3,Cartman,"KFC!! 
"
3,13,Randy,"Alright, alright, that's enough, boys. 
"
6,17,Jimmy,"Six geese are laying... fu...five go-oldenh ...uhrings. Fodom... dom... du...du...t...du... Four calling biiirds
"
8,11,Cartman,"...I think bail.
"
9,8,Randy,"I'll help you, Sharon.  Boy, that's just awful.
"
5,6,Kyle,"That's the most horrible story I've ever heard. Why would God do such a horrible thing to a good person just to prove a point to Satan?
"
8,11,Cartman,"Oh dude, I just got the best idea
"
9,3,Cartman,"Aw man, that's too bad, Token. Hey, could you bring us some more bread, huh? Oh and some more olive oil. Chop chop! 
"
15,4,Stan,"Yeah. That's good. A little higher on Craig's side.  Yeup. 
"
14,8,Cartman,"Thanks, B-butts. I really think I can hold my own against these guys. Little worried about that Jimmie Johnson guy though; he seems dumber than spit. And that Danica Patrick chick? Phew! We're gonna need to get even poorer and stupider, Butters. Both of us.
"
2,18,Kyle,"That's not how a croc sounds, you fatass penis!
"
10,14,Stan,"...Yeah?
"
9,12,Stan,"What?
"
14,2,Stan,"There's nothing about liberals or conservatives!
"
8,2,Timmy,"Timmih! '
"
2,2,Cartman,"Come sail away, come sail away, come sail away with me... lads
Come sail away, come sail away, come sail away with me-hee
"
17,9,Kyle,"Dude, I know you're pissed at me right now. You've gotta understand that I did it because I know in my heart that the XBox is better, for all of us.
"
5,4,Cartman,"Hahaaha! Ha. Ha. Heh. Huh, excuse me, sir.
"
16,5,Stan,"I guess, there's only one thing left for me to do.
"
7,11,Stan,"Dude, I wonder where Kyle is.
"
4,17,Kyle,"Oh, you're just saying that because he brings you candy.
"
1,2,Cartman,"Beefcake!
"
5,7,Wendy,"Yeah. Thank God.
"
2,7,Kyle,"Sure. Remember that time that that kid in the red shirt decided to go off on his own?
"
4,10,Butters,"Uhwell, uh what about the handicapped kid, uh-Timmy?
"
8,13,Kyle,"Hey, uh, does anyone know who that guy is?!
"
11,10,Jimmy,"Sucking Cartman's b-balls.
"
5,2,Timmy,"Tiiimm-mmah!!!!!
"
11,6,Cartman,"Crap! 
"
4,16,Cartman,"Something about a swimsuit - I don't remember, but you definitely answer ""bad touch.""
"
7,14,Kyle,"Okay, it's third down. And now, somebody make a play!
"
8,5,Cartman,"The New Orleans Saints. 
"
5,1,Stan,"All the world destroyed?
"
5,10,Cartman,"A-heh, what?
"
6,7,Stan,"This is it.
"
14,7,Kyle,"When Towelie is doing heroin, he doesn't care about anything.
"
5,4,Cartman,"Just give me back my money...
"
4,7,Cartman,"Uh huh.
"
10,14,Stan,"It's just for one game. He won't get hurt, I promise. 
"
14,7,Butters,"Towelie, I gotta take you somewhere really important!
"
8,3,Cartman,"Sweet, now I can just play with myself.  Pewpeww-pewww! Get back in the shuttlecraft! 
"
7,2,Jimmy,"But... but why do they hate each other?
"
11,8,Cartman,"Kyle?
"
11,10,Kyle,"This is so retarded, Cartman. You've got everyone believing your stupid story.
"
14,2,Cartman,"Oh really? Sweet.
"
1,11,Stan,"I can't wait for Ms. Ellen to see what a raging lesbian I am.
"
6,5,Cartman,"These commercials are all so God-damn stupid!
"
10,12,Kyle,"Will you shut up already?! 
"
11,7,Stan,"I don't get it. My Dad said as long as nobody gave them money, they'd move on.
"
11,14,Kyle,"I got voted the ugliest boy in the whole class?
"
11,4,Cartman,"Uh oh! 
"
3,9,Kyle,"Kenny will find a way.
"
5,14,Butters,"Hi Dad! 
"
2,4,Kyle,"Chop off his wee wee?! Are you sure?!
"
2,8,Cartman,"I am not swimming around in pee!
"
14,7,Butters,"Towelie, over the past couple of years, I have seen drug addiction affect you in the following ways.
"
14,8,Stan,"Cartman, tell us.
"
3,15,Cartman,"that's why they're lame.
"
7,15,Stan,"Whoa whoa, Cartman.
"
18,3,Randy,"Yeah. I don't understand you at all. A lot you know. 
"
4,17,Stan,"Uuhh, E. W-EE wish you a Merry Christmas. 
"
1,7,Kyle,"See Cartman, your mom is on the cover.
"
6,6,Butters,"Why yes, I did. But he pushed me down and I scraped my elbow.  Go on and look at it. It's scraped. Look.  Yeesss. Go on and see the red mark on my elbow, the red mark I made myself to throw you off Professor Chaos's trail.
"
4,12,Kenny,"(Yes, sir!)
"
16,2,Kyle,"Dude, this guy's trying to rook us! We can go someplace else!
"
9,4,Stan,"Now that Cartman got Kenny's feeding tube out, he's gonna die for sure! 
"
12,8,Butters,"Well okay, I'm sorry!
"
1,1,Cartman,"Yeah, go home you little dildo.
"
12,4,Kyle,"We have to speed this up!  Uh, can we collect our Internet money in front of you, please?
"
3,1,Kenny,"(That's not good?)
"
10,13,Cartman,"Butters?! Come on, we gotta go!
"
18,2,Randy,"Hamburger Helper?
"
9,2,Cartman,"Listen, you're my friends, but if you've been compromised, I'll have no problem taking you out! I'll expect the same from you. 
"
14,1,Butters,"I mean it's like, what is it? What does it mean? Why would there be a bush right there? Is it a live bush? Are there berries?
"
2,2,Cartman,"They can't. Mephesto can't die.
"
9,4,Cartman,"Who cares? Kenny's dead!  When do I take possession of my PSP, sir?
"
12,10,Randy,"All right, here we are. Marsh family gathered for another dinner. 
"
4,4,Stan,"Dude, it's Timmy.
"
8,3,Kyle,"I saw The Passion!
"
2,5,Kyle,"Agghh!
"
16,6,Cartman,"It's diet, dude. Diet soda doesn't give you diarrhea. 
"
6,14,Kyle,"Aaaa! 
"
2,11,Cartman,"God damnit, Mom, I wasn't pickin' it! I have an itch!
"
6,12,Kyle,"Hey Kenny.
"
3,5,Cartman,"Oh. Let me get out my notepad so I can classify this new species.  Well, this should be fine, just fine. Just fine, fine.
"
11,11,Cartman,"Well we're here now, that's all that matters.  Care for some nuts? Oh, that's right. I guess you'll be chock full of nuts in a few minutes.
"
8,2,Jimmy,"Thanks a lot, fellas. Well, we gotta get down to the training center and start working out. Word is we have a lot of sssstiff competition this year.
"
2,10,Stan,"Catch what?
"
4,8,Wendy,"Oh man, we've got to come up with rebuttals to the history argument.
"
13,14,Butters,"Do you need to wash your hands?
"
1,12,Kyle,"That was cool!
"
5,13,Kenny,"(No. Fuckin' Madonna...) 
"
6,6,Butters,"Yeh, you didn't? 
"
2,3,Stan,"Oh my God, they've killed--
"
11,5,Stan,"What is the deal with the coloring the eggs and you hiding them and all that? What does that have to do with Jesus dying on the Cross?  It is symbolic? Are you trying to reference something that happened in Biblical times?  Answer me!
"
5,3,Kyle,"Congratulations, sister. You have heard the noble truth and are now a Blaintologist.
"
13,10,Butters,"Hey! No! No, the fight hasn't started yet. No, bad.
"
10,11,Kyle,"You're afraid to do it, too.
"
7,4,Randy,"And me, I'll be the caring soul.
"
4,1,Stan,"Hi. Can Token come out and play?
"
1,9,Kyle,"Hey!  How about you come to school with me tomorrow, so I can at least prove I'm not crazy to my friends.
"
9,9,Butters,"Then I can go home and tell my mommy and daddy I'm not really dead?
"
6,13,Cartman,"We're screwed.
"
6,16,Stan,"Cartman??
"
16,9,Stan,"Dude! Dude, not cool!
"
2,14,Kyle,"Are you Elton John?
"
17,6,Kyle,"Alright, Cartman, joke's over. 
"
3,13,Randy,"Well, something. I mean, you can't just wait until she's a teenager and expect her to figure out everything all at once.
"
7,9,Kenny,"(Yeah!)
"
9,5,Randy,"This is America! This is an honest America!
"
3,2,Stan,"That's amazing!
"
18,9,Stan,"I don't get it. The whole fun of Call of Duty is that you get to do the shooting.
"
18,10,Cartman,"Oho, looks like we've reached customer service, brahs. Now we can truly be everywhere!
"
13,14,Butters,"What's this?
"
6,3,Butters,"What?
"
11,10,Cartman,"I've got unfinished business. You go through life being told there's justice, then you learn that the only real justice...  is the justice you take.  Make no mistake, Kyle. Before this is over, you will suck my balls. 
"
9,2,Kyle,"We can't. Kenny just checked. There's a wall of people like seven miles thick behind us.
"
9,13,Kyle,"Hi. My name's Kyle. Uh, I understand that your country flies people into space for money.
"
15,13,Stan,"Dude, it is called History Channel.
"
14,11,Cartman,"Asshoooles! 
"
1,5,Mr. Garrison,"Everyone, let's give K. C. and his weed a big hand.  Okay Kyle, we're ready to see your science project.
"
4,4,Cartman,"Hoo-ray.
"
18,6,Randy,"Stan, just because I make a good living with my music doesn't mean you can go blow it all on Canadough!
"
17,3,Mr. Mackey,"Well he was technically standing his ground, Token.
"
15,7,Stan,"Oh cool, Legos. Thanks, Butters.
"
2,18,Cartman,"He might have been, by crikey.
"
14,5,Mr. Mackey,"But even if it were safe for Muhammad to be shown, how would we ever find him?
"
10,10,Cartman,"Well, okay, fine. Unless you don't want to get her pregnant, then you pull it out and pee on her leg.
"
5,13,Kenny,"(I hope so)
"
18,2,Mr. Garrison,"Oh Jesus! Hey! It isn't safe in there!  Get out of there!
"
11,4,Cartman,"Well Baahir, I was thinking that maybe I owe you an apology.
"
18,7,Butters,"Ah how do you know that?!
"
5,6,Cartman,"Huh, I think God has plenty of money.
"
14,6,Kyle,"Aw crap.
"
7,3,Stan,"Tomorrow in school we'll all tell the teacher it was us, and let her decide what to do.  And Cartman, if you had any thread of a conscience at all, you'll do the same! 
"
8,4,Randy,"What's the matter with him?
"
17,3,Cartman,"Dude, um, what are doing after school, Token? You wanna, you wanna hang out? 
"
9,7,Jimmy,"Son of a ...b-bitch!  Taxi!  Follow that pimp and ho! 
"
18,3,Mr. Garrison,"Actually,  it's more like a royal flush.
"
7,6,Cartman,"The you'd better get that semen sample no matter how long it takes!
"
10,10,Kyle,"I need you to keep quiet about this, all right?  My little brother and his tea-
"
1,3,Cartman,"Hey, it might be!
"
12,9,Cartman,"That's not true. You're just saying that.
"
4,8,Mr. Garrison,"Well, good for you, Puppet Pants! I'll have nothin' to do with it!
"
15,13,Cartman,"Jesus Kyle, you are really being crampy today.
"
2,16,Cartman,"Sweet. What is it?
"
1,13,Cartman,"Oh, fine. How are you guys?
"
1,4,Mr. Garrison,"Oh, good idea. Okay Stanley, you're next.
"
9,5,Kyle,"I know who.
"
16,4,Cartman,"Dude, I want wings!  Ahghgh!!!  Oh Jesus, it's only you!
"
6,5,Cartman,"This TV is great, Chef.
"
3,14,Kyle,"We'll give you 10 bucks.
"
12,9,Butters,"Hehehe yeah, did you come up with that one on your own?!
"
7,8,Stan,"Oh my God, you guys are not gonna believe what happened to me last night.
"
8,4,Randy,"Uh, hey, ex- excuse me.
"
2,9,Stan,"If you work in the entertainment business and you make money, you're a sellout!
"
12,10,Kyle,"Two hundred dollars?
"
5,7,Stan,"Why?! What's the big deal?!
"
11,4,Cartman,"Oh dude, I'm, I'm right next to you. 
"
3,8,Mr. Mackey,"Uh this is Cher. This is her new album.
"
3,17,Mr. Garrison,"I know! I wanna know why not?!
"
6,6,Jimmy,"Hey fellas. I was just in the neighborhood and I thought I'd stop by to s-gif- gift basket.
"
2,7,Kyle,"There.  I think we got it.
"
9,2,Cartman,"I'm talking about the end of all life as we know it.  For the past several days I've been... noticing a steep rise in the number of hippies coming to town.  At first I thought maybe it was just a coincidence.  Then I saw this...  Three new drum circles have sprouted up here, here, and here. They're all growing in diameter, at a rate of two hippies per hour. What this means... is that the hippies are conglomerating. They're thriving, if you will. I think that they're setting up for a... . hippie music festival.
"
16,12,Randy,"Stan, get off the damned phone! People are gonna start callin' to reserve movies! Gau! 
"
5,7,Cartman,"That's what it's called when you milk a dog: beating it off.  Don't you guys know anything?
"
10,9,Cartman,"Butters, do you think 9/11 was just a plot by some angry terrorists, or do you think there was some kind of coverup?
"
3,4,Stan,"Yeah. He's all pissed off at you. So, will you fight?
"
14,2,Mr. Garrison,"Tonight I want you to read chapters one through five, and tomorrow we'll discuss the-
"
3,16,Stan,"Who-o-oa, du-ude. I've got boobs.
"
5,10,Cartman,"Yes, I have it right hmya. 
"
10,10,Kyle,"Well no, not really. It's the Kindergarten teacher, Miss Stevenson.
"
18,1,Kyle,"Bloody butt cough.
"
7,11,Cartman,"Next Saturday?? I'll never be able to keep Butters in the...  In the... depths of my heart for that long. I sure hope he... turns up before then.
"
1,5,Kenny,"(""And I want to see you handling your breasts."")
"
6,14,Cartman,"Aw man, this is awesome! 
"
4,15,Kenny,"(Yeah. Am I?)
"
10,9,Butters,"Well, I heard that 9/11 was caused by President Bush.
"
13,4,Stan,"What?! No way Wendy, today's the day!
"
7,9,Cartman,"Oh yeah?! I will bet you ten bucks that if I start a Christian rock band that I can get a platinum album before you guys do!
"
8,2,Jimmy,"Oh Jesus!  You gonna start running your mouth off again?  P-push it! Push it!
"
14,4,Stan,"Excuse me. Could you tell me what the hell's going on?
"
7,1,Kenny,"(Awesome)
"
17,10,Butters,"No way! Go back to Annie Nelson! She's built like a Slim Jim! 
"
6,16,Cartman,"Your parents will drive all the way out to the school and discover that no meeting is actually taking place.
"
10,13,Cartman,"What?
"
4,12,Cartman,"...What?
"
13,8,Kyle,"Ike! Ike, what?!
"
3,7,Cartman,"Oh yeah! Oh yeah!
Oh wicky wicky Wild West!
Shelly, guess who's busted!  Hey! I said, guess who's busted!  Eh, you're not gonna trick me, I've got the goods on you!
"
6,10,Stan,"Sure thing, Bebe.
"
14,7,Jimmy,"So I made up my mind that I've just got to find the Tardicaca girl I did adore.
"
15,12,Cartman,"Noohoho! Peter Panda nooo!
"
8,11,Cartman,"One testicle!  What an asshole! 
"
3,3,Cartman,"But mo-om! I have to tell Chef that he's marrying a succubuuus!
"
5,8,Stan,"Hey yeah.  Well guys, let's go to the swimming pool!  Aaah. Let's go take a shower!  Let's go waterskiing!
"
14,8,Cartman,"Goddammit Butters! Alright just... just keep a lookout, I'll try it here.  Look that way, make sure the cashier doesn't see me.  Is anybody coming?
"
8,9,Cartman,"Sir, don't you think you're talking a little too much?
"
11,2,Cartman,"Haahaahahaha!  Very funny! I suppose you really think you got me!
"
2,15,Stan,"Yeah, my goldfish-.
"
6,9,Stan,"What?
"
13,13,Mr. Mackey,"Eric, the student body president really doesn't have the kind of power that you-
"
8,7,Stan,"Hello, Mrs. Landis. Would you like snow-shoveling service again today?
"
7,5,Cartman,"Come on, we gotta get to work on some songs! 
"
6,17,Cartman,"Poo Poo Train is my favorite thing, spreading Christmas joy as we ride and sing!
"
11,4,Kyle,"No! ...Not... not like you're saying.
"
7,5,Cartman,"Hahahahahaaaha! Hahahahahaaaha! Hahaha, Hahaha, Hahahahahahaha!
"
1,5,Kyle,"Rotten, they're both really drunk, but the won't have sex.
"
3,3,Stan,"Here it goes.
"
18,5,Butters,"Be careful! The powerlines!
"
6,13,Stan,"No, we have to return it! 
"
3,13,Kyle,"I can't. I have to wait for Rebecca to show up.
"
15,14,Cartman,"Yeah, see, the problem is, Mom, is that with Kenny gone I'm now the poorest kids in skewl!
"
4,12,Mr. Mackey,"We... don't like to talk about it.
"
16,4,Cartman,"Okay, okay. Even if there was a Jewpacabra, it wouldn't know I was the one who got video of it, huh? How could it know that? It couldn't know that, right? Kyle? 
"
11,14,Kyle,"Stan, what is going on?!
"
15,11,Randy,"Okay. What's Shelly doing?
"
13,5,Cartman,"Yeah, that was kewl huh?
"
12,12,Randy,"Here comes the change everybody! WOOO! 
"
1,2,Wendy,"He's got a gun!
"
2,7,Mr. Garrison,"Come on you little bitch. 
"
2,6,Stan,"W-we're sorry, too, Uncle Jimbo. We're sorry for making you look stupid in front of the whole world.
"
7,11,Cartman,"So, fine, Kyle, but honestly, I never meant to make you feel like you didn't matter at all to me. I know we argue all the time and I give you tons of crap, but we've also been through a, a lot together, and... maybe that alone doesn't make us friends, but it makes us something. So, ...whatever, you know, just... ah I hope... things will be cool.
"
6,16,Stan,"Yes?
"
8,1,Butters,"But, but fellas, if I, if I dress up like a dog with a star in my eye, I- I'm gonna get grounded.
"
1,8,Stan,"Hello? No, no, it's a ma- Vas-deferens?
"
14,7,Jimmy,"We get to see all our old friends again. Hey, there's Frances. Hey Frances!
"
5,6,Cartman,"But I don't have any cash. I spent everything on this park.
"
7,6,Kyle,"...Grrrr!!! 
"
18,3,Randy,"Aaah I don't know. Why?
"
1,8,Cartman,"I'm seriously getting pissed off over here!!
"
3,14,Cartman,"Yes I will!
"
15,12,Jimmy,"But if he's 1% of 17%, then he's .17%.
"
18,6,Jimmy,"It's a figure of speech with crippled people. We'd say we lost an arm and a leg, but they ain't worth much.
"
13,5,Jimmy,"What?!
"
4,10,Stan,"We're goin' to church. We've sinned and so we have to confess again.
"
17,5,Kyle,"He doesn't even let me near him!
"
6,3,Butters,"Never.  Sir, I really gotta go home. My parents are gonna be sore at me.
"
15,5,Cartman,"Dude, this thing is huge. And it doesn't hurt the crack babies at all. We're swimming in cash, Kyle. Let me take you out to Denny's. It's Baconalia time.
"
3,10,Randy,"Uh, we just came to support you. We love Chinpokomon, too. It's super toy, number 1!
"
3,9,Kenny,"(I'm telling you, it's Kyle you want. He's the one who tried to get me in here, and you know it.)
"
3,17,Mr. Garrison,"No, I... think all my work here is done. Dad, I... don't know what to say; I feel closer to you than I ever have.
"
12,9,Cartman,"Okay. Okay Wendy. I will eat my underwear. Right here, right now.
"
10,6,Stan,"NO.
"
12,1,Cartman,"Nobody likes Jimmy Buffett except for frat boys and alcoholic chicks from the South!
"
13,4,Randy,"What was that?
"
8,11,Kyle,"Yeah. Maybe if we can get higher ratings by the end of the week, they'll let us stay on the air!
"
5,2,Cartman,"Man, this guy sucks.
"
7,13,Cartman,"Nothin' Na- Due-nothing. 
"
8,1,Cartman,"Kick ass! 
"
18,7,Cartman,"Butters, I'm seriously! Are you fucking with me?!
"
12,13,Kyle,"What happened? I thought you were gonna kill yourself.
"
9,13,Stan,"Craig, Token, get the slings ready. 
"
1,3,Kyle,"Wow, that'd be cool.
"
2,7,Cartman,"This kicks ass, you guys! John Elway is my father! 
My father is John Elway, my father is John Elway
Deedun, Deedun.
"
13,10,Stan,"And Butters and Jimmy I mean, they're okay but, they're never gonna make it as professional wrestlers.
"
7,15,Kyle,"Then that's it. I'm... I'm never going to get my brother back. 
"
18,7,Cartman,"Okay, nice, Butters. Uhhm, now go to the front door and ring the doorbell. This is the part where you collect the money.
"
8,6,Stan,"You just gotta pretend you're Blanket until we can get the real Blanket somewhere safe.
"
6,12,Stan,"Hold on to this, Cartman. I might lose it. 
"
1,5,Kenny,"(Look at that!  What's he doin'?)
"
14,4,Kyle,"Stan, you don't get how cool Facebook has become. You can message your friends, play Yahtzee with your friends, even start your own virtual farm and have your friends visit it.
"
14,2,Stan,"What?
"
1,12,Cartman,"Eechh! Screw you, hippie! Eeeh-eh.
"
3,11,Kyle,"Well, how'd we do it last time??
"
18,5,Cartman,"This thing is recording, right?
"
6,5,Kyle,"It's the biggest night of the year.
"
6,8,Randy,"Waaah! Waaah!  Uyah  ahem. 'Scuse me.
"
6,1,Cartman,"Oh yeah, keep doing that. That's working good.
"
16,3,Butters,"Oh, that's okay. I think...
"
6,17,Stan,"RPG, four o'clock!
"
4,1,Kyle,"Oh no! The girls are gonna win!
"
7,13,Stan,"...Whoops.
"
2,16,Cartman,"I don't wanna take care of Cousin Elvin!
"
2,13,Cartman,"Boinsure li bonsure.
"
5,7,Stan,"Oh no, what now?
"
16,10,Cartman,"Isn't it possible your mom was raped by the UPS man? We know nothing about this guy and he shows up to all of our houses. Think about it: what kind of sane, normal person would wanna have sex with Kyle's mom?
"
18,8,Stan,"Hell yeah! 
"
16,3,Stan,"You will like this, Kenny. Pull down your pants. 
"
12,7,Cartman,"I wanna shoot an Indian.
"
1,10,Stan,"Whoa, dude! 
"
2,9,Stan,"When's this thing start? I hope there are some good previews.
"
10,12,Butters,"Well, like what?
"
4,10,Butters,"Hey, there's a window in the back that's usually open. 
"
18,1,Cartman,"Well, what are you gonna do? Go back to school? I'm not going back there, man!
"
3,5,Cartman,"Come... back. 
"
1,2,Mr. Garrison,"Kathie Lee Gifford. I don't believe it.
"
13,4,Kyle,"Calm down Butters! The men are taking action. But we need to take your picture.
"
18,1,Stan,"Whooping Fart Balls.
"
9,14,Cartman,"Why?
"
16,14,Butters,"He didn't tell me nothin'. Annd I'm sworn to secrecy. Ih-it's really important, Kyle, and it isn't what you think.  Uh, don't make me say any more!
"
6,5,Cartman,"Oh my god, eugh! Oh God! Oh, Jesus help me!  Oh! I lost a doughnut!  Oooh! Oh oh!  Oh my God!  Leave no doughnut behind!
"
12,1,Kyle,"I'm sorry. I'm. I'm really. Cartman, I f-I feel really bad for you. Honestly.
"
3,14,Randy,"All I'm saying is that... is that the Confederates would have just gotten their asses kicked in Topeka!
"
2,16,Kyle,"You're not the real Mr. Hankey.
"
12,11,Cartman,"Looks like the... pan flute music is driving away giant... guinea pigs?
"
17,10,Wendy,"Oh good. Lisa Berger told on you? Good!
"
5,13,Kenny,"(I'm okay, I guess.)
"
13,12,Stan,"God! Shut up!
"
4,17,Kyle,"Yeah.
"
17,10,Wendy,"I want you to see just how easy this is so we can better understand each other. This is Lisa Berger's class photo, right?
"
17,8,Stan,"The Princess bids your fat ass welcome to her kingdom and suggests you state your purpose.
"
12,3,Kyle,"You can get high from choking yourself? 
"
18,10,Stan,"Because my dad's an idiot!
"
11,7,Stan,"Dude, our parents are just as stupid as these people, our town is gonna end up just like this!
"
9,11,Jimmy,"Yeah. Go on, beat it, re... rr-retard! 
"
5,3,Stan,"Who are you?
"
15,5,Kyle,"What?
"
8,5,Cartman,"Yes. You can trust AWESOM-O. In fact, you should tell AWESOM-O all your most personal secrets. AWESOM-O will not make fun of you or tell your secrets to other people and stuff.
"
7,5,Cartman,"Good night, Ms. Lopez. Tomorrow is gonna be a great day. Great day tomorrow...  Tomorrow...  ""Kyle, you were wrong! We did do a record deal!""  ""You were wrong, Kyle!""  ""Nananananaaana!""  ""Hahahahahaaaha!""  ""Nananananaaana!"" ""Hahahahahaaaha!""  Awesommme. Yeeessss.
"
2,11,Stan,"Oh.
"
14,1,Butters,"Yeah, it feels great! I never wanna see bush again!  I finally paid a lady to show me hers. You wanna know what's under that bush? Nothin' but a pair of sick Joker lips.
"
15,10,Kyle,"What the hell happened?!
"
8,12,Wendy,"Hey, Bebe. I heard you were having a party tonight.
"
6,17,Cartman,"...and here's some old toys that I don't need anymore.  And here! Here's some Christmas cookies!  And some holly and mistletoe!  Oh, this'll the happiest Christmas the Middle East has ever seen! Guys, get those lights down from the door. We'll give them to the needy Iraqis, too.
"
4,6,Kyle,"How?
"
16,5,Butters,"Naw, I'm not no Anonymous Andy.
"
2,4,Stan,"We know, we know, that's what everybody says.
"
17,6,Kyle,"Yummy yummy yummy I want Cartman's farts in my tummy.
"
17,7,Cartman,"You can't change his mind, Sir Kyle. Sony people don't think with logic. He betrayed us. And now we must out-Game of Thrones him by making powerful alliances.
"
7,5,Mr. Mackey,"Here she comes! Here she comes!
"
14,6,Stan,"Look, Mr. Cruise, I'm sorry I said you were a fudge packer and that seaman on your back.
"
13,6,Randy,"Uh hey, space officers. How can we help you?
"
6,14,Mr. Garrison,"That was a brilliant idea, having me put a gerbil up your ass, Mr. Slave.  Now we'll get fired for sure!
"
9,11,Cartman,"Hm. I don't really see the irony in that, Kyle. 
"
2,17,Stan,"What?
"
7,3,Cartman,"Yeah? Well, Ol' Mrs. Streible probably had it comin' to her.
"
8,5,Butters,"Oh boy! My robot gets to come with me to see Aunt Nellie?!
"
17,1,Cartman,"Yeah, it's that kid Kyle again. He's a total boner, always listening in on my calls.
"
12,1,Kyle,"I do. 
"
