"Country","Region","Year","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","Hepatitis_B","Measles","BMI","Polio","Diphtheria","Incidents_HIV","GDP_per_capita","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Economy_status_Developed","Economy_status_Developing","Life_expectancy"
"Ireland","European Union",2010,3.5,4.2,68.771,11.57,95,86,27.1,94,94,0.07,45932,4.56,0.3,0.2,12.2,1,0,80.7
"Belize","Central America and Caribbean",2001,19.4,22.8,195.111,4.77,96,89,27.5,96,96,1.26,4353,0.26,3.7,3.7,10.1,0,1,69
"Equatorial Guinea","Africa",2004,96.1,138.2,333.4845,8.11,46,64,23,49,38,3.86,11559,0.72,1,1,5.4,0,1,54.3
"Congo, Rep.","Africa",2009,44.7,65,319.8945,1.3,75,64,22.7,76,78,2.09,2272,4.15,8.3,7.9,6,0,1,59.3
"Cameroon","Africa",2005,78.1,127.5,386.9125,4.9,79,64,23.6,79,80,2.76,1218,17.73,6.9,7,5.1,0,1,52.8
"Austria","European Union",2006,3.9,4.7,78.393,12.58,83,61,25.3,83,83,0.08,42496,8.27,1.7,1.9,10.1,1,0,79.9
"Congo, Dem. Rep.","Africa",2008,88.1,122.3,292.737,3.23,65,64,21.4,64,65,0.62,392,60.41,1.8,1.7,5,0,1,55.7
"Suriname","South America",2013,19.1,21.4,172.944,5.84,86,15,26.3,78,86,0.54,9673,0.55,3.5,3.5,8.1,0,1,71
"Cyprus","European Union",2003,4.5,5.2,65.7605,10.62,88,91,26.5,98,98,0.03,23929,0.99,0.9,1,10.4,1,0,78.4
"Cyprus","European Union",2000,5.6,6.5,69.0645,9.56,89,91,26.3,97,97,0.03,22382,0.94,0.9,1,10,1,0,78
"Afghanistan","Asia",2008,69.2,95.7,259.806,0.028,64,23,22.5,64,64,0.02,399,27.72,18.8,18.9,3,0,1,59.9
"Estonia","European Union",2000,8.7,10.9,213.0375,9.03,93,89,25.4,93,93,0.08,9960,1.4,2.5,2.5,11.7,1,0,70.4
"Armenia","Rest of Europe",2007,19,21.4,145.711,3.91,85,93,25.9,90,88,0.08,3093,2.93,2,2.1,11,0,1,72.8
"Bahamas, The","Central America and Caribbean",2000,13.9,16.3,190.144,11.93,90,83,26.7,91,99,1,35794,0.3,2.7,2.6,10.9,0,1,71.9
"Austria","European Union",2003,4.3,5.2,87.6535,12.31,83,46,25.1,84,84,0.08,39815,8.12,1.7,1.9,9.6,1,0,78.6
"Vietnam","Asia",2011,18.1,22.7,130.047,2.46,95,65,21.2,96,95,0.16,2123,88.87,14.4,15.2,7.6,0,1,74.9
"Norway","Rest of Europe",2009,2.8,3.4,66.481,6.68,88,96,26.3,94,94,0.03,72823,4.83,0.7,0.7,12.7,1,0,80.8
"Kiribati","Oceania",2011,48.6,63.3,205.968,0.54,95,61,29.7,95,99,0.17,1366,0.1,0.1,0.1,7.9,0,1,66.1
"Sao Tome and Principe","Central America and Caribbean",2011,25.7,33,196.7465,6.31,96,71,24.5,96,96,0.27,1431,0.18,6,5.9,5,0,1,67.9
"Kazakhstan","Asia",2008,21.9,24.7,257.3335,3.42,99,99,25.9,99,99,0.1,8555,15.78,2.4,2.5,11.5,0,1,67.1
"Mozambique","Africa",2014,63,88.4,344.63,1.08,79,64,22.6,88,79,3.5,569,26.29,3.6,3.5,3.4,0,1,56.1
"Dominican Republic","Central America and Caribbean",2015,28.8,35,161.617,5.39,81,83,26.4,87,85,0.38,6922,10.28,3.3,3.2,7.8,0,1,73.2
"Congo, Dem. Rep.","Africa",2013,77,102.5,268.2395,4.43,74,64,21.8,74,74,0.42,454,71.36,9.9,9.6,6,0,1,58.4
"Djibouti","Africa",2000,79.9,101,319.372,1.24,88,82,23.5,46,46,2.96,768,0.72,6.4,6.1,3.2,0,1,57
"Slovenia","European Union",2008,2.9,3.6,94.189,10.94,88,98,25.9,97,97,0.03,22297,2.02,1.7,1.7,11.9,1,0,78.8
"Benin","Africa",2013,65.7,102.1,248.4295,1.43,77,83,23.3,73,77,0.4,1052,10,7.2,7.1,3.2,0,1,60.1
"Hungary","European Union",2014,4.5,5.4,131.9085,10.92,88,99,27.1,99,99,0.08,12237,9.87,1.7,1.6,11.8,1,0,75.8
"Slovenia","European Union",2006,3.3,4,102.7445,12.26,88,99,25.8,97,97,0.03,20280,2.01,1.8,1.9,11.8,1,0,78.1
"Nicaragua","Central America and Caribbean",2003,27.2,32.9,186.2505,3.72,86,83,26.1,86,86,0.13,1472,5.29,2.1,2,5.3,0,1,70.6
"Bahamas, The","Central America and Caribbean",2013,12.5,14.6,161.711,9.23,97,83,27.8,97,97,0.36,31408,0.37,2.5,2.5,11.1,0,1,72.6
"Mauritania","Africa",2000,69.1,112.5,229.9,0.03,61,64,23.7,58,51,0.48,1296,2.63,1.9,1.7,3,0,1,60.7
"Guatemala","Central America and Caribbean",2000,41,52.1,207.817,2.52,87,83,25,80,81,0.45,3195,11.59,1.6,1.6,3.7,0,1,67.8
"China","Asia",2010,12.5,15.8,92.937,5.75,99,99,23.2,99,99,0.1,5647,1337.71,4.2,3.6,7.3,0,1,74.4
"Cameroon","Africa",2006,76.2,124.2,379.164,5.1,81,64,23.7,78,81,2.57,1230,18.22,6.7,6.8,5.2,0,1,53.2
"Lithuania","European Union",2008,5.9,7.3,222.743,13.79,96,96,26.3,96,96,0.08,12425,3.2,2.9,2.9,12.2,1,0,71.8
"Mexico","North America",2015,13.9,16.2,110.8405,4.24,82,96,27.9,87,87,0.16,9617,121.86,1.5,1.5,8.6,0,1,74.9
"Cabo Verde","Africa",2003,24.8,29.8,140.524,4.21,66,96,23.6,93,92,0.39,2106,0.45,8.9,8.9,4,0,1,69.9
"Iraq","Middle East",2005,32.4,40,179.8215,0.18,65,58,27.5,69,65,0.13,3493,26.92,5.4,5.2,5.8,0,1,68.3
"Grenada","Central America and Caribbean",2005,12.4,14.6,166.2075,8.85,99,81,25.9,99,99,0.4,8559,0.1,3.9,4,7.8,0,1,73.1
"Colombia","South America",2003,19.4,22.8,162.7195,4.14,92,70,25.1,92,92,0.22,4099,41.48,2.5,2.2,6.5,0,1,73.8
"Sao Tome and Principe","Central America and Caribbean",2001,51.2,76.5,218.9645,5.1,70,71,23.6,90,92,1.23,1081,0.14,7.8,7.8,4.3,0,1,62
"Slovak Republic","European Union",2000,8.2,9.8,147.9935,11.33,98,97,25.5,98,99,0.01,8915,5.39,1.6,1.7,10.3,1,0,73.1
"Botswana","Africa",2006,38.1,61.5,468.51,7.14,93,83,24,96,96,10.53,5295,1.84,9.6,9.4,8.4,0,1,53.4
"Czechia","European Union",2015,2.5,3.2,82.5385,12.76,97,99,27,97,97,0.08,17830,10.55,1.8,1.8,12.7,1,0,78.6
"Denmark","European Union",2014,3.5,4.1,69.2705,9.55,88,84,25.3,94,94,0.04,52405,5.64,1.1,0.9,12.8,1,0,80.7
"Mauritius","Africa",2010,12.5,14.5,151.4165,3.15,99,90,25,99,99,1.01,7818,1.25,7.2,7.2,8.2,0,1,73
"Benin","Africa",2015,63.2,97.6,242.9535,1.53,82,83,23.5,72,82,0.33,1077,10.58,6.9,6.8,3.5,0,1,60.6
"Gambia, The","Africa",2014,40.9,62.4,264.471,2.68,96,64,23.8,97,96,1.04,654,2.02,7.5,7.3,3.3,0,1,60.7
"Algeria","Africa",2009,24.4,28.4,106.1,0.43,94,98,25,94,95,0.02,3851,35.33,6,5.9,6.9,0,1,74.6
"Poland","European Union",2003,7,8.1,141.427,9.06,97,97,25.6,98,99,0.08,7878,38.2,2.4,2.6,11.5,1,0,74.6
"Burundi","Africa",2014,48.2,71.3,298.257,3.95,95,60,21.6,95,95,0.31,328,9.84,7.4,7.3,2.8,0,1,59.7
"Bangladesh","Asia",2004,51.8,68.3,156.4125,0.004,75,63,20.5,88,99,0.01,733,136.99,2.1,2.7,4.5,0,1,67.3
"Barbados","Central America and Caribbean",2002,14.2,15.5,122.8625,7.59,66,41,26.6,86,87,0.6,15905,0.27,4.2,4.1,9.1,0,1,77.5
"Spain","European Union",2001,4.3,5.3,81.959,12.01,83,92,26.1,95,96,0.1,24708,40.85,0.6,0.5,8.5,1,0,79.4
"Uzbekistan","Asia",2010,25.4,28.7,157.8785,1.74,99,54,26,99,99,0.14,2131,28.56,3,3.1,10.7,0,1,69.7
"Turkmenistan","Asia",2014,36.3,42,191.3055,3.24,97,99,26.3,98,98,0.08,6149,5.47,3.3,3.3,9.8,0,1,67.6
"Central African Republic","Africa",2008,102.5,152.8,494.9685,1.73,45,64,22.2,46,45,2.28,480,4.27,9.3,9.2,3.4,0,1,46.2
"Cuba","Central America and Caribbean",2004,6.1,7.6,103.8635,4.36,99,83,24.8,98,88,0.13,4665,11.25,3.4,3.3,9.8,0,1,77.5
"Togo","Africa",2013,53.7,80.9,278.601,1.21,84,64,23.3,84,84,0.79,537,6.95,6.8,6.6,4.5,0,1,59.2
"St. Vincent and the Grenadines","Central America and Caribbean",2015,15.2,16.7,154.8235,7.41,98,83,27.1,97,98,0.4,7207,0.11,3.5,3.4,8.6,0,1,72.1
"Montenegro","Rest of Europe",2008,7,8.1,122.2765,10.89,93,96,25.9,95,95,0.03,6206,0.62,2.1,2.1,10.9,0,1,75.1
"Malaysia","Asia",2002,7.6,8.9,130.4885,0.52,95,91,24.1,94,94,0.25,6488,24.21,9.5,9.3,8.2,0,1,73
"Sri Lanka","Asia",2005,12.2,14.2,132.3135,1.97,99,99,22,99,99,0.02,2245,19.54,15.4,15.5,10.4,0,1,74.7
"Uzbekistan","Asia",2013,20,22.5,145.432,1.95,99,99,26.4,99,99,0.14,2487,30.24,3,3.1,11.3,0,1,70.4
"Greece","European Union",2014,3.7,4.3,71.3785,7.06,96,83,27.1,99,99,0.07,18000,10.89,0.8,0.7,10.5,1,0,81.4
"Serbia","Rest of Europe",2008,6.9,8,134.1205,9.59,93,97,25.7,95,95,0.02,5271,7.35,2.3,2.4,10.4,0,1,73.9
"Mauritania","Africa",2014,56.2,85.1,205.0555,0,84,64,24.8,81,84,0.14,1489,3.93,8,7.7,4.3,0,1,63.7
"Bolivia","South America",2002,50.4,67.2,231.344,2.24,77,83,24.9,76,77,0.21,2066,8.74,1.4,1.3,7.2,0,1,63.6
"Rwanda","Africa",2011,40.6,58.6,233.744,6.66,97,87,21.7,93,97,0.86,631,10.29,6.3,6.2,3.8,0,1,64.5
"Lebanon","Middle East",2006,11.2,13,77.1425,1.65,78,45,26.8,75,78,0.03,6684,4.76,4.7,4.6,7.6,0,1,77.3
"Turkiye","Middle East",2012,13.6,15.8,111.4545,1.47,97,65,27.6,97,97,0.08,9587,74.65,4.9,4.7,7.5,0,1,75.4
"Jamaica","Central America and Caribbean",2013,14.2,16.5,134.4545,3.16,93,71,27.4,86,93,0.54,4884,2.86,1.8,1.7,9.4,0,1,74
"Moldova","Rest of Europe",2014,13.7,16,172.978,7.4,92,92,26.9,92,90,0.36,2720,2.86,2.7,2.8,11.6,0,1,71.3
"Belgium","European Union",2014,3.3,4.1,72.379,10.57,98,85,26.1,99,99,0.08,40421,11.21,1,1,11.5,1,0,81.3
"Serbia","Rest of Europe",2014,5.7,6.6,116.691,7.19,92,91,26,93,93,0.02,5463,7.13,2.1,2.1,10.7,0,1,75.3
"India","Asia",2012,40.9,52,185.272,3.04,73,36,21.5,79,82,0.08,1347,1265.78,26.9,27.6,5.6,0,1,67.5
"Nicaragua","Central America and Caribbean",2013,18,21.1,152.7925,3.55,98,83,27,99,98,0.11,1916,6.06,1.8,1.7,6.4,0,1,73.2
"Japan","Asia",2011,2.3,3.2,64.2585,8.41,83,92,22.7,96,97,0.17,33011,127.83,1.9,1.6,11.8,1,0,82.6
"Bahrain","Middle East",2012,6.8,8,69.438,1.72,99,99,24.9,99,99,0.05,21188,1.3,6.1,6,8.8,0,1,76.3
"Mauritius","Africa",2003,13.8,16,164.979,4.02,97,81,24.7,99,99,1.16,6022,1.21,7.9,7.8,6.8,0,1,72.1
"Djibouti","Africa",2005,71.2,88.7,305.088,1.22,88,82,23.7,71,71,0.67,905,0.78,5.9,5.8,3.7,0,1,58
"Poland","European Union",2001,7.6,8.8,147.2585,7.74,95,96,25.5,98,98,0.08,7451,38.25,2.5,2.7,11.1,1,0,74.2
"Netherlands","European Union",2008,4,4.7,67.9805,9.51,88,93,25.4,97,97,0.06,45939,16.45,1,0.9,12,1,0,80.3
"Sweden","European Union",2003,3.2,3.9,67.2,6.88,60,95,25.4,99,99,0.08,43195,8.96,1.3,1.3,11.8,1,0,80.1
"Lebanon","Middle East",2014,7.4,8.6,61.5415,1.18,81,63,27.5,81,81,0.04,7938,6.26,4.8,4.9,8.4,0,1,78.7
"Finland","European Union",2012,2.3,2.8,79.341,9.27,88,92,26,99,99,0.08,43637,5.41,0.9,0.8,12.4,1,0,80.6
"Belarus","Rest of Europe",2004,7.3,9.4,245.7875,12.08,99,98,26,99,99,0.12,3522,9.73,2.4,2.5,9.2,0,1,69
"Czechia","European Union",2013,2.5,3.1,88.7525,12.54,99,99,27,99,98,0.08,16594,10.51,1.8,1.9,12.6,1,0,78.2
"Bhutan","Asia",2009,36,44.9,230.9395,0.15,93,79,23.2,93,93,0.15,2018,0.68,16.8,17.5,2.3,0,1,67.9
"Equatorial Guinea","Africa",2001,104.4,151.4,332.218,6.79,46,64,22.7,43,35,3.44,6983,0.63,1.6,1.4,5.4,0,1,53.6
"Montenegro","Rest of Europe",2002,11.4,12.9,138.1465,10.24,91,96,25.4,92,91,0.02,4529,0.61,2.5,2.5,10.3,0,1,73.2
"Albania","Rest of Europe",2011,10.8,12.1,80.349,5.03,99,99,26.2,99,99,0.03,3678,2.91,1.4,1.5,9.3,0,1,76.9
"Kuwait","Middle East",2005,9.8,11.4,81.8995,0.013,99,77,28.7,99,99,0.13,39850,2.27,3.2,3.1,5.8,0,1,73.5
"Gambia, The","Africa",2001,59.8,108.7,298.2375,3.28,91,64,22.1,85,87,1.71,747,1.36,1,1,2.1,0,1,56.4
"Kiribati","Oceania",2015,44.7,57.6,198.449,0.35,82,76,30,80,78,0.17,1535,0.11,0.1,0.1,7.9,0,1,67.3
"Burundi","Africa",2012,53.4,80.3,306.3965,4.33,96,59,21.4,96,96,0.4,319,9.25,7.5,7.5,2.7,0,1,58.6
"Micronesia, Fed. Sts.","Oceania",2006,28.5,34.6,175.731,1.73,84,65,29.1,81,67,0.17,3042,0.11,0.2,0.2,6.3,0,1,65.7
"Angola","Africa",2007,90.6,147,297.0245,4.68,73,64,22.5,43,73,1.45,2845,20.91,9.6,9.6,4.5,0,1,52.2
"Israel","Middle East",2008,3.9,4.9,64.414,2.59,99,91,26.8,94,94,0.08,31718,7.31,1.1,1.1,12.6,1,0,81
"El Salvador","Central America and Caribbean",2013,14.4,16.8,187.4335,2.35,92,85,27.4,92,92,0.19,3591,6.27,1.6,1.6,6.6,0,1,71.9
"Montenegro","Rest of Europe",2006,8.4,9.7,128.5365,10.38,90,96,25.8,90,90,0.03,5436,0.62,2.2,2.2,10.7,0,1,73.8
"El Salvador","Central America and Caribbean",2007,19.2,22.6,203.491,2.73,99,86,26.8,99,99,0.27,3308,6.11,1.8,1.7,5.8,0,1,70.5
"United States","North America",2012,6,7.1,104.536,8.85,90,86,28.6,93,94,0.13,54213,313.88,0.7,0.6,13.3,1,0,78.7
"Bulgaria","European Union",2006,10.3,12.4,156.0375,10.18,96,93,25.7,96,95,0.02,5629,7.6,2.2,2.2,10.4,1,0,72.6
"Brazil","South America",2015,14.2,15.9,144.3625,6.63,96,80,26.5,98,96,0.24,8814,204.47,2.7,2.6,7.6,0,1,75
"Spain","European Union",2013,2.8,3.5,59.454,8.55,95,91,26,96,96,0.09,24361,46.62,0.6,0.5,9.5,1,0,83.1
"Guyana","South America",2015,27.4,33.1,209.372,5.48,95,95,26.3,92,95,0.59,5577,0.77,5.5,5.3,8.4,0,1,69.3
"Oman","Middle East",2001,13.3,15.4,126.257,0.54,99,99,25.5,99,99,0.05,21296,2.29,7.1,6.9,5.6,0,1,72.6
"Dominican Republic","Central America and Caribbean",2012,28.8,35,165.809,5.49,74,83,26.1,85,85,0.46,5969,9.93,3.3,3.2,7.5,0,1,72.5
"Angola","Africa",2006,95.7,156.4,307.785,4.02,67,64,22.4,8,34,1.48,2589,20.15,9.8,9.7,4.5,0,1,51.1
"Cambodia","Asia",2000,79.2,106.3,259.469,0.6,84,48,20.7,62,59,0.81,487,12.16,11.6,11.9,3.2,0,1,58.4
"Ghana","Africa",2005,54.9,83,279.54,0.56,84,55,23.2,85,84,1.31,1176,21.81,8.1,8.1,6.4,0,1,58.7
"Canada","North America",2001,5.3,6.2,79.395,7.6,14,84,26.4,88,89,0.1,34227,31.02,0.5,0.4,11.2,1,0,79.3
"Japan","Asia",2000,3.3,4.5,72.954,7.96,83,86,22.5,98,85,0.17,31431,126.84,1.6,1.4,10.7,1,0,81.1
"Brazil","South America",2007,19.5,21.8,161.982,6.91,99,49,25.5,99,99,0.25,7937,190.13,3.1,3,6.5,0,1,72.6
"Saudi Arabia","Middle East",2002,16.7,19.6,105.2955,0.056,97,96,27.6,95,95,0.13,16095,21.81,7.3,7.3,7,0,1,72.9
"Mongolia","Asia",2011,20.6,24.4,225.0725,6.65,99,98,25.6,99,99,0.02,3028,2.77,2.2,2.3,9.8,0,1,67.8
"Dominican Republic","Central America and Caribbean",2011,28.8,35,167.619,5.47,80,83,26,84,84,0.49,5881,9.81,3.3,3.2,7.4,0,1,72.3
"Brazil","South America",2014,14.6,16.3,146.3165,6.91,96,89,26.3,96,93,0.24,9215,202.76,2.7,2.7,7.4,0,1,74.7
"Ukraine","Rest of Europe",2013,8.8,10.2,201.674,8.73,46,54,26.4,72,76,0.24,2466,45.49,2.3,2.4,11.3,0,1,71.2
"Poland","European Union",2013,4.5,5.2,119.573,10.8,96,93,26.4,95,99,0.08,11656,38.04,2,2.1,12.1,1,0,77
"Ukraine","Rest of Europe",2009,10.6,12.3,230.8795,8.97,66,68,26.2,74,71,0.3,2215,46.05,2.5,2.6,11.3,0,1,69.2
"Costa Rica","Central America and Caribbean",2003,10,11.8,96.955,4.05,86,86,26.1,88,88,0.14,8158,4.16,2.2,2.1,7.9,0,1,77.9
"El Salvador","Central America and Caribbean",2000,27.4,33.2,220.1275,2.65,99,79,26,98,99,0.41,2993,5.89,2.1,2,5.2,0,1,68.9
"Chad","Africa",2014,77.3,132.3,365.883,0.68,37,64,21.8,44,37,0.42,780,13.66,8.7,8.5,2.2,0,1,52.8
"Tonga","Oceania",2007,12,14,147.075,2.05,87,99,31.7,99,87,0.17,3817,0.1,0.1,0.1,9.8,0,1,69.9
"Somalia","Africa",2010,96.2,157.4,326.1265,0,42,64,22.8,49,45,0.13,296,12.04,7,6.8,2.1,0,1,54
"China","Asia",2015,8.3,10.7,82.273,5.66,99,99,23.7,99,99,0.1,8016,1379.86,3.6,2.9,7.7,0,1,75.9
"Albania","Rest of Europe",2002,21.7,24.4,87.182,3.96,96,93,25.3,98,98,0.02,2247,3.05,2,2.1,9,0,1,74.6
"Uruguay","South America",2007,11,12.6,115.7035,6.51,94,92,26.4,94,94,0.2,11245,3.33,1.6,1.5,8.2,0,1,76.3
"Russian Federation","Rest of Europe",2006,10.3,12.8,292.2095,11.83,98,97,26,98,98,0.08,7950,143.05,2.4,2.7,11.4,0,1,66.7
"Cyprus","European Union",2010,2.8,3.4,57.4125,11.33,96,88,26.7,99,99,0.06,26020,1.11,0.9,1,11.5,1,0,79.4
"Eritrea","Africa",2015,34,46.3,255.781,1.03,95,88,20.7,95,95,0.1,9011,0.35,8.4,8.2,3.9,0,1,64.7
"Panama","Central America and Caribbean",2002,20.9,24.8,124.3705,4.94,98,88,25.8,99,99,0.4,6881,3.15,2.3,2.2,8.7,0,1,75.4
"Bahamas, The","Central America and Caribbean",2001,14,16.4,187.537,11.38,90,83,26.8,98,99,0.9,36178,0.3,2.7,2.6,10.9,0,1,72
"Yemen, Rep.","Middle East",2007,50,65.6,244.445,0.05,79,95,23,79,79,0.02,2555,21.28,13.8,13.8,2.2,0,1,64.5
"Panama","Central America and Caribbean",2004,20,23.5,124.7005,4.97,95,89,26,92,95,0.4,7427,3.27,2.2,2.1,8.9,0,1,75.7
"Guinea","Africa",2007,79.4,126.6,304,0.19,57,64,22.4,46,63,1.03,684,9.52,8.9,8.8,1.6,0,1,54.9
"Kuwait","Middle East",2015,7.5,8.8,58.1365,0,99,96,29.5,99,99,0.13,29870,3.84,3.5,3.4,7.1,0,1,75.1
"Finland","European Union",2002,3.3,4.1,97.1345,9.25,88,92,25.8,95,98,0.08,39351,5.2,0.9,0.8,9.5,1,0,78.1
"Croatia","European Union",2007,5.3,6.2,106.427,11.36,95,98,26.3,96,96,0.02,12550,4.31,1.8,1.7,10.1,1,0,75.7
"St. Lucia","Central America and Caribbean",2004,15.8,18.3,163.506,12.58,91,83,27.6,91,91,0.4,9800,0.16,4.4,4.4,7.4,0,1,74
"Burkina Faso","Africa",2001,89.3,174.9,325.735,5.53,86,31,21,62,62,0.83,456,11.94,11.2,1.8,1.3,0,1,50.9
"United States","North America",2009,6.4,7.5,107.0105,8.67,92,86,28.4,93,95,0.13,51996,306.77,0.7,0.6,13.2,1,0,78.4
"Cabo Verde","Africa",2010,22.1,26.3,133.3605,4.93,98,94,24.2,99,99,0.26,3011,0.49,7.4,7.4,5.1,0,1,71.1
"Poland","European Union",2004,6.8,7.8,142.2675,9.19,98,96,25.7,99,99,0.08,8275,38.18,2.4,2.5,11.6,1,0,74.8
"Canada","North America",2015,4.7,5.4,65.9695,8,55,86,26.9,91,91,0.1,43596,35.7,0.6,0.5,13.1,1,0,81.9
"Ethiopia","Africa",2005,69.5,108.9,338.17,0.21,52,64,20.1,56,44,0.65,310,76.35,11.5,11.2,1.9,0,1,56.2
"Venezuela, RB","South America",2010,14.7,17.1,148.2105,7.4,78,83,26.6,74,78,0.4,13825,28.44,1.6,1.5,8.9,0,1,73.1
"Namibia","Africa",2014,34,47.9,328.32,2.59,88,64,24.1,88,88,4.5,4782,2.27,8.6,8.5,6.7,0,1,61.4
"Ukraine","Rest of Europe",2010,10.1,11.7,213.7115,7.77,48,41,26.3,57,52,0.28,2315,45.87,2.4,2.5,11.3,0,1,70.3
"Equatorial Guinea","Africa",2009,81.7,115.3,332.154,7.2,46,64,23.4,59,43,4.39,15906,0.9,9.2,9.2,5.5,0,1,55.3
"Mongolia","Asia",2010,22.1,26.3,230.153,7.73,96,95,25.4,96,96,0.02,2630,2.72,2.2,2.3,9.5,0,1,67.4
"United States","North America",2001,7,8.3,114.2395,8.25,89,86,27.7,89,94,0.13,48727,284.97,0.8,0.6,12.7,1,0,76.8
"Belarus","Rest of Europe",2002,8.5,10.9,260.3945,11.78,99,98,25.8,99,99,0.08,2912,9.87,2.5,2.7,9.1,0,1,68.1
"Myanmar","Asia",2011,47,61,204.845,1.09,40,80,22.2,90,84,0.32,963,50.99,13,13.3,4.3,0,1,64
"Grenada","Central America and Caribbean",2015,14.3,16.2,141.3,8.2,92,89,26.9,99,92,0.4,9097,0.11,3.8,3.8,8.7,0,1,72.4
"Nigeria","Africa",2002,103.8,171.5,411.5985,11.09,29,64,22.5,40,25,1.21,1685,128.6,13.8,13.8,5.2,0,1,46.8
"China","Asia",2007,16.2,20.1,99.551,3.89,92,92,22.9,94,93,0.1,4319,1317.89,4.7,4.1,7,0,1,73.6
"Venezuela, RB","South America",2011,14.7,17.2,147.169,6.88,78,83,26.6,78,78,0.4,10956,28.89,1.6,1.5,9.8,0,1,73.1
"Antigua and Barbuda","Central America and Caribbean",2009,8.7,10.6,139.537,7.64,98,94,26,98,99,0.1,15402,0.09,3.4,3.3,9.3,0,1,75.7
"Timor-Leste","Oceania",2008,56,67.7,171.0075,0.062,79,64,20.5,79,79,0.07,1020,1.06,11.7,11.7,4,0,1,66.3
"Afghanistan","Asia",2006,74.6,104.1,271.4905,0.026,64,18,22.3,58,58,0.02,354,26.43,19.2,19.3,2.7,0,1,58.8
"Peru","South America",2009,16.2,20.8,134.0135,5.04,93,42,25.9,92,93,0.16,4819,28.79,1.2,1.2,8.4,0,1,74.1
"Guyana","South America",2011,30,36.7,215.255,5.64,93,84,25.9,93,93,0.62,5089,0.75,5.6,5.3,8.2,0,1,68.3
"Senegal","Africa",2010,42.4,65.7,211.9,0.18,89,33,22.7,76,89,0.19,1150,12.68,1.4,1.3,2.4,0,1,64.3
"Egypt, Arab Rep.","Africa",2011,23.1,27.5,157.823,0.19,96,64,28.9,96,96,0.13,3473,84.53,2.9,2.9,6.7,0,1,70.5
"Angola","Africa",2001,118.2,198.4,361.129,1.94,67,64,21.8,28,38,1.36,1847,16.95,1.7,1.7,4.4,0,1,47.1
"Italy","European Union",2014,3,3.6,51.776,7.56,95,83,25.6,95,95,0.07,29980,60.79,0.6,0.6,10.1,1,0,83.1
"Slovak Republic","European Union",2011,5.6,6.8,120.157,10.27,99,97,26.1,99,99,0.01,14890,5.4,1.2,1.3,12.1,1,0,76
"Algeria","Africa",2013,22.1,25.8,98.739,0.5,95,93,25.3,95,95,0.03,4043,38.14,5.9,5.8,7.8,0,1,75.7
"United Kingdom","Rest of Europe",2005,5.1,6,79.5075,11.38,88,86,26.7,91,91,0.08,43137,60.4,0.7,0.5,12.2,1,0,79
"El Salvador","Central America and Caribbean",2003,23.5,28.1,213.592,2.91,94,77,26.4,93,94,0.35,3060,5.99,2,1.9,5.7,0,1,69.7
"Cameroon","Africa",2009,71.1,114.3,365.4865,5.72,80,64,23.9,79,80,2.13,1247,19.79,6.3,6.3,5.2,0,1,54.6
"Albania","Rest of Europe",2015,8.5,9.6,75.205,4.33,99,98,26.6,99,99,0.03,3953,2.88,1.2,1.3,9.7,0,1,78
"Cameroon","Africa",2014,59.5,92.4,345.615,4.7,87,64,24.2,84,87,1.24,1344,22.68,5.7,5.7,6,0,1,57.1
"Lesotho","Africa",2015,72.6,94.6,513.4755,3.07,93,82,24.9,85,93,10,1146,2.06,5.5,5.3,6.1,0,1,51
"Rwanda","Africa",2004,72.8,118.6,368.1215,7.83,89,87,21.2,89,89,2.27,425,8.68,6.9,7.1,2.7,0,1,53.6
"Switzerland","Rest of Europe",2005,4.3,5.1,65.1225,10.15,88,71,25,94,94,0.08,76785,7.44,0.6,0.4,12,1,0,81.2
"Mozambique","Africa",2010,72.5,104.9,382.0835,0.79,74,64,22.3,73,74,3.5,480,23.53,3.7,3.6,3.2,0,1,52.3
"Cambodia","Asia",2002,67.3,86.7,243.8905,0.75,84,48,20.8,54,54,0.51,539,12.64,11.6,11.8,3.3,0,1,60.3
"Liberia","Africa",2006,85.3,121,294.2555,4.06,58,64,23.5,66,60,3.5,578,3.33,8.1,8.1,3.8,0,1,56.4
"Suriname","South America",2003,24.9,28.2,207.3055,4.7,84,16,25.6,74,75,0.96,6816,0.49,3.5,3.5,7.7,0,1,68.3
"Namibia","Africa",2001,44.2,75.3,470.342,2.29,83,64,23,79,78,11.07,3111,1.82,15.2,15.4,5.8,0,1,51.4
"Uganda","Africa",2013,42.4,62.3,321.4315,8.12,78,64,22.2,78,78,2.45,821,35.69,5.7,5.7,5.4,0,1,59.9
"Nepal","Asia",2008,40.1,50.8,186.7545,0.2,82,65,21.6,82,82,0.17,675,26.67,17,17.6,3.1,0,1,66.7
"Saudi Arabia","Middle East",2015,7.8,9.1,87.974,0,98,96,28.4,97,98,0.13,20628,31.72,7.8,7.6,9.5,0,1,74.7
"India","Asia",2015,34.9,43.5,177.9465,3,87,69,21.7,86,87,0.06,1606,1310.15,26.7,27.3,6.3,0,1,68.6
"Czechia","European Union",2012,2.6,3.2,92.0385,12.83,99,99,26.9,99,99,0.08,16607,10.51,1.8,1.9,12.4,1,0,78.1
